id,value
Eugène Atget,5050
Louise Bourgeois,3318
Ludwig Mies van der Rohe,2566
Unknown photographer,1575
Jean Dubuffet,1435
Lee Friedlander,1317
Pablo Picasso,1310
Marc Chagall,1162
Henri Matisse,1063
Pierre Bonnard,894
Lilly Reich,823
Frank Lloyd Wright,799
George Maciunas,762
August Sander,749
Unknown Artist,673
Georges Rouault,632
Émile Bernard,631
Ben Kinmont,597
Aristide Maillol,579
André Derain,573
Sol LeWitt,557
Raoul Dufy,545
Maurice Denis,504
Dorothea Lange,488
Joan Miró,462
Pierre Alechinsky,429
Jan Dibbets,426
Jasper Johns,412
Jim Dine,401
Album-miscellaneous,387
Walker Evans,361
Garry Winogrand,359
Jules Pascin,350
Robert Rauschenberg,336
Thomas Bewick,324
Henri Cartier-Bresson,305
André Masson,305
Christian Boltanski,296
Josef Albers,291
Odilon Redon,290
Ansel Adams,290
Edward Steichen,289
José Antonio Suárez Londoño,285
Alighiero Boetti,283
Ben Vautier,282
André Dunoyer de Segonzac,273
Unknown Designer,271
Robert Motherwell,267
Eduardo Paolozzi,265
John Thomson,264
Leonard Baskin,263
Edward Weston,260
Antonio Frasconi,257
Jacques Villon,253
Harry Callahan,247
Ellsworth Kelly,247
Andy Warhol,247
Robert Frank,234
Martin Kippenberger,232
David Hockney,229
Aleksandr Rodchenko,228
Edward Ruscha,228
Raymond Pettibon,228
Max Ernst,227
Thomas Schütte,226
František Kupka,226
Lyonel Feininger,224
Henri de Toulouse-Lautrec,224
Fernand Léger,224
Michael Schmidt,223
Max Beckmann,220
William Eggleston,219
Robert Watts,217
Jean (Hans) Arp,217
Marcel Duchamp,214
Eadweard J. Muybridge,214
Roberto Matta,213
Nicholas Nixon,211
Roman Signer,207
George Grosz,206
Various Artists,201
Frans Masereel,201
E. McKnight Kauffer,199
José-Guadalupe Posada,197
Anni Albers,197
Francis Alÿs,193
George Brecht,189
Lovis Corinth,189
Dieter Roth,188
Man Ray (Emmanuel Radnitzky),183
Francisco de Goya,181
Richard Tuttle,180
Alfred Capel-Cure,180
Théophile-Alexandre Steinlen,178
Max Weber,178
Georges Braque,175
Aleksandra Mir,175
Francis Frith,173
Antoni Tàpies,170
Ernst Ludwig Kirchner,170
